Agente,Llamadas contestadas,Llamadas perdidas,Llamadas rechazadas,Llamadas derivadas,Tiempo hablado,Fecha llamada
Wendy Hampton,26,25,14,11,1:21:31,2023-06-03
Connor Dawson,27,33,18,2,0:09:03,2023-05-09
Jonathan Roberts,40,45,1,17,2:21:09,2023-05-16
Dr. Laurie Hurst MD,91,32,19,28,1:34:15,2023-05-22
John Johnston,67,36,5,21,2:38:50,2023-05-13
Janet Goodman,89,0,18,7,1:06:30,2023-06-06
Matthew Williams,70,46,17,28,3:28:05,2023-06-05
Jenny Porter,63,30,14,0,0:19:51,2023-05-30
David Clark,16,17,19,7,0:27:06,2023-05-16
Kathleen Rodriguez,4,42,10,4,3:40:10,2023-05-23
Monica Mora,42,10,2,12,2:36:32,2023-05-18
Katie Harper,36,48,13,22,2:02:00,2023-05-10
Elizabeth Mcdaniel,68,36,19,28,0:24:09,2023-05-29
Melissa Mueller,32,14,15,9,1:06:58,2023-05-17
Mark Johnson,82,10,6,4,2:17:59,2023-06-06
Gloria Bruce,19,42,7,17,3:21:14,2023-05-18
Susan Turner,8,6,19,12,2:52:10,2023-05-20
Joan Palmer,24,17,13,23,0:05:45,2023-06-04
Michael Martinez,64,29,15,8,0:47:44,2023-05-16
Colin Baker,90,12,18,9,0:10:45,2023-05-12
Timothy Sheppard,48,14,10,24,2:36:19,2023-05-10
Caleb Payne,93,9,9,5,3:52:49,2023-05-18
Susan Wright,60,39,10,5,3:58:13,2023-05-20
Sharon Rodriguez,4,34,1,1,1:32:35,2023-05-30
James Newton,45,12,10,7,2:43:35,2023-06-03
Crystal Vang,53,33,19,12,1:38:59,2023-05-20
Crystal Morrison,14,35,0,13,1:01:36,2023-05-31
Kenneth Henderson,43,28,11,2,1:04:43,2023-05-22
Sandra Lopez,100,32,10,2,1:18:15,2023-05-14
Jessica Stewart,67,22,12,29,3:14:37,2023-05-11
Richard Martin,23,25,6,14,2:59:39,2023-05-19
Brenda Green,57,49,1,11,1:36:07,2023-05-23
Ashley Gonzalez,24,32,2,26,0:43:39,2023-05-28
Marcia Anderson,27,39,16,0,0:03:32,2023-05-16
Samantha Roberson,25,47,3,10,2:46:08,2023-05-12
James Hampton,39,2,2,24,3:28:10,2023-05-21
Ethan Walsh,65,39,14,4,0:19:49,2023-06-01
Kimberly Ward,55,43,1,15,3:44:39,2023-05-10
Jessica Thompson,20,12,8,3,2:13:04,2023-06-02
Cindy Pena,79,24,1,21,3:13:04,2023-05-14
Tara Harper,12,34,20,9,0:36:52,2023-06-08
Stephanie Fowler,91,21,15,29,1:45:56,2023-06-03
Dr. Robert Phillips,8,33,7,15,1:56:56,2023-05-20
Natalie Simmons,45,17,3,30,3:02:12,2023-06-04
Hannah Williams,95,24,11,13,0:50:26,2023-05-09
Briana Kim,62,11,18,26,3:59:27,2023-05-17
Stephanie Kelley,26,36,18,4,1:22:34,2023-06-07
Sophia Howe,50,33,19,23,3:42:33,2023-05-21
Natalie Washington,79,35,15,1,0:44:53,2023-05-23
Louis Chapman,1,48,1,13,2:50:26,2023-05-27
Leonard Turner,78,24,2,18,1:04:36,2023-05-10
Melissa Douglas,16,48,6,5,1:34:10,2023-06-05
Michael Rogers,61,33,5,23,2:47:36,2023-05-21
Linda Cunningham,78,39,14,28,2:10:02,2023-06-06
Cody Sanders,86,26,17,25,2:04:44,2023-06-06
Wendy Holder,28,50,3,13,2:24:37,2023-05-28
Trevor Wallace,15,42,13,22,0:35:09,2023-05-24
Samuel Diaz,78,15,10,9,2:53:37,2023-05-28
Kyle Phillips,49,1,16,21,0:57:39,2023-05-23
Stephanie Wilson,6,10,8,1,1:03:24,2023-05-28
Mark Howard,74,2,8,20,3:14:47,2023-05-13
James Shaw,2,7,4,2,0:11:10,2023-06-01
Anthony Nguyen,44,41,3,1,2:48:42,2023-05-31
Gregory Thomas,83,50,10,8,3:48:41,2023-05-13
Courtney Brock,39,11,0,21,3:57:22,2023-05-29
Tiffany Hamilton,43,43,12,17,0:24:45,2023-05-24
Emily Thomas,77,44,9,25,3:36:31,2023-05-23
Mr. Joseph Hansen Jr.,39,45,2,0,0:59:59,2023-05-13
Mrs. Katherine Cohen DDS,46,40,6,27,3:47:38,2023-05-14
Jacob Stephens,72,30,14,7,1:28:47,2023-05-18
Christopher Walsh,37,30,1,21,3:23:11,2023-05-30
Karen Rubio,14,30,17,5,0:42:58,2023-06-07
Michelle Huffman,80,18,14,30,3:52:57,2023-05-13
Derek Oliver,56,21,17,21,1:37:24,2023-05-18
Jennifer Gonzalez,86,26,4,24,1:10:33,2023-05-24
Jason Richmond,69,20,17,21,3:50:37,2023-05-28
Kristen Martin,21,42,0,10,3:22:51,2023-05-11
Roger Anderson,67,13,13,20,2:24:34,2023-05-13
Sierra Ward,49,13,5,8,1:15:41,2023-05-29
Mary Small,20,38,11,11,0:31:05,2023-05-24
Destiny Brennan,4,47,8,9,1:59:52,2023-06-07
Jason Lopez,83,40,4,25,0:59:42,2023-06-08
Benjamin Bryant,79,3,2,7,3:27:20,2023-05-26
Justin Mitchell,36,29,19,19,0:35:12,2023-05-11
Michael Mcconnell,93,48,6,26,3:12:02,2023-05-31
Jessica Perry,66,26,1,22,0:20:20,2023-05-26
Richard Hurley,36,29,20,6,2:36:52,2023-06-05
Rebecca Sanchez,56,28,1,7,0:02:58,2023-05-10
Kevin Cortez,93,24,13,7,0:48:07,2023-05-15
Monica Ross MD,11,13,15,24,0:48:29,2023-06-03
Thomas Sawyer,95,21,9,17,3:01:33,2023-05-31
Diane Lopez,2,14,9,18,0:27:51,2023-05-15
Cynthia Jones,99,16,17,0,3:37:16,2023-05-14
Elijah Mills,85,42,4,11,0:33:23,2023-06-06
Samuel Bradley,29,21,13,30,2:00:01,2023-05-13
Brittany Baker,28,3,10,2,3:14:44,2023-05-31
Tiffany Shea,77,10,18,4,0:06:51,2023-05-12
James Price,61,1,17,25,2:05:57,2023-05-09
Rebecca Howard,66,45,17,16,2:43:36,2023-05-18
Robert Weaver,32,34,3,29,1:19:30,2023-05-15
Patricia Nelson,99,32,14,28,3:54:50,2023-05-27
William Mcdonald,6,48,10,7,1:33:54,2023-05-20
Alicia Martinez,17,17,7,4,3:33:14,2023-05-25
Zachary Russell,54,50,1,24,2:46:50,2023-05-19
John Davis,59,16,12,30,3:22:40,2023-05-21
Derek West,82,21,15,4,0:46:16,2023-05-16
Michael Callahan,27,37,10,25,0:06:51,2023-05-13
Patrick Davis,1,42,20,17,3:53:49,2023-05-26
Wayne Baker,0,43,3,14,2:23:53,2023-05-13
Frank Glover,41,45,20,7,3:58:35,2023-06-05
Tracey Rivera,3,3,16,15,1:20:54,2023-05-31
Christopher Mcknight,72,27,8,23,0:10:06,2023-05-30
Jeff Miller,95,36,9,15,0:02:43,2023-06-01
Dr. Kelly Cobb DDS,15,27,10,29,2:17:55,2023-05-25
Susan Wood,20,7,7,19,2:33:54,2023-05-20
Patricia Davis,35,0,7,12,2:03:41,2023-05-09
Kimberly Johnson,28,32,16,5,2:47:55,2023-06-03
Kimberly Drake,86,34,20,7,3:00:17,2023-05-09
Danielle Carter,70,9,8,18,2:55:02,2023-06-08
Robin Montgomery,79,21,19,27,2:56:58,2023-05-19
Adam Hernandez,3,36,0,0,0:44:05,2023-05-18
William Berry,3,41,3,8,0:01:01,2023-05-11
Kayla Ruiz,80,17,18,8,3:56:17,2023-06-02
Joseph Patton,69,25,4,24,2:38:51,2023-06-07
Cynthia Vaughn MD,9,30,9,17,2:05:05,2023-05-31
Tyler Brown,48,48,9,29,2:45:39,2023-06-02
David Smith,81,23,0,7,3:38:21,2023-05-20
Debbie Logan,12,35,12,30,3:01:10,2023-05-24
Lawrence Ingram,97,21,10,5,3:12:37,2023-05-26
Alisha Rosales,12,9,4,7,2:58:54,2023-05-09
Jamie Taylor,5,38,14,12,2:59:13,2023-05-27
Kelly Ross,54,39,4,23,1:31:18,2023-06-07
Christina Robinson,52,33,15,13,1:37:44,2023-05-20
Patricia Charles,33,48,11,26,0:45:12,2023-05-29
Trevor Bautista,69,3,6,5,2:59:05,2023-06-08
Sean Weber,17,8,20,26,1:59:33,2023-05-13
Pamela Johnson,31,45,0,3,0:03:24,2023-05-28
Devin Henderson,20,0,10,21,2:39:57,2023-05-18
Samantha Lopez,71,5,5,23,0:11:30,2023-06-08
Marcus Chang,10,7,1,16,3:02:28,2023-05-14
Leslie Jones,50,38,19,15,1:51:21,2023-05-23
Jillian Ingram,88,39,18,11,0:17:39,2023-05-16
Kyle Wells,99,23,2,7,2:34:31,2023-05-26
Diane Sanders,52,47,17,19,0:35:51,2023-06-08
Lisa Potts,39,43,8,24,2:26:25,2023-05-22
Yesenia Norris,40,49,2,15,2:50:49,2023-05-13
Lisa Day,24,26,15,28,0:22:52,2023-05-30
Jeremy Owen,12,47,7,30,3:25:51,2023-05-17
Rebekah Joyce,43,7,10,22,2:43:40,2023-05-11
Michael Shaw,25,17,9,8,0:23:07,2023-05-14
Emily Wade,73,19,9,5,1:00:20,2023-05-12
Cindy Johnson,4,3,3,15,1:22:27,2023-05-23
Michelle Alexander MD,21,5,6,12,3:12:35,2023-05-27
Mr. Steven Mcintyre MD,63,16,9,12,2:20:20,2023-06-08
Zachary Williams,45,33,5,14,2:39:31,2023-05-20
Jennifer Ward,79,12,2,27,0:12:12,2023-05-22
Ronald Wall,82,19,3,20,2:34:18,2023-05-12
Roger Williams,32,34,13,16,2:27:30,2023-06-01
Jeremy Hill,67,11,3,23,0:03:44,2023-05-19
Kimberly Williams,22,15,5,2,2:50:09,2023-05-10
Kathryn Grant,10,5,1,26,3:01:22,2023-05-10
Charles Ramos,3,7,7,12,2:00:49,2023-05-09
Shannon Contreras,5,3,5,21,0:22:11,2023-05-27
Kimberly Diaz,58,48,12,1,3:18:11,2023-05-16
Stephanie Le,82,6,15,11,1:13:37,2023-05-12
Edward Taylor,68,1,19,30,2:04:12,2023-05-17
Laurie Blanchard,83,43,10,6,3:44:40,2023-05-28
Peter Patrick,73,18,7,7,2:02:06,2023-05-29
Natalie Davis,12,44,16,26,2:02:36,2023-06-06
Tracy Winters,84,21,5,16,1:27:28,2023-05-22
Tina Gray,24,7,16,14,1:14:52,2023-06-08
Shelly Ramos,26,5,8,12,2:37:03,2023-05-26
Gregory Dyer,49,49,17,28,1:30:54,2023-05-11
Kimberly Edwards,38,47,1,7,3:09:27,2023-06-07
Vicki Pineda,15,27,14,14,1:11:21,2023-05-27
James Clark,55,40,18,20,1:55:35,2023-05-18
William Wright,62,13,15,1,2:14:34,2023-05-20
Sylvia Suarez,66,37,5,17,3:08:12,2023-06-02
Hannah Mccarthy,98,25,3,19,0:56:02,2023-05-30
Zachary White,61,29,5,26,2:21:46,2023-05-13
Kelly Kane,2,28,1,12,1:09:43,2023-06-07
Jose Reyes,44,6,10,29,0:24:19,2023-05-11
Willie Lynn,2,23,11,3,0:40:35,2023-05-18
Donald Bass,30,27,6,17,0:44:37,2023-06-05
Joseph Kirk,46,13,10,20,2:24:10,2023-05-26
Joseph Berry,32,33,1,13,1:01:49,2023-05-26
Edward Mason,56,11,3,25,0:33:06,2023-05-22
Yolanda Stanley,34,22,7,23,1:05:20,2023-05-23
Jeffrey Hunt,73,6,2,29,0:02:42,2023-05-15
